"","Time","n"
"603","2018-01-22",1
"604","2018-01-23",2
"605","2018-01-24",3
"606","2018-01-26",1
"607","2018-01-29",2
"608","2018-01-30",2
"609","2018-02-01",1
"610","2018-02-04",1
"611","2018-02-06",4
"612","2018-02-07",9
"613","2018-02-08",1
"614","2018-02-09",7
"615","2018-02-10",1
"616","2018-02-11",4
"617","2018-02-13",1
"618","2018-02-14",2
"619","2018-02-15",1
"620","2018-02-17",1
"621","2018-02-18",1
"622","2018-02-20",1
"623","2018-02-21",1
"624","2018-02-22",2
"625","2018-02-25",1
"626","2018-02-26",1
"627","2018-02-27",3
"628","2018-03-02",1
"629","2018-03-04",1
"630","2018-03-05",1
"631","2018-03-06",2
"632","2018-03-09",2
"633","2018-03-11",1
"634","2018-03-12",1
"635","2018-03-13",1
"636","2018-03-15",1
"637","2018-03-16",2
"638","2018-03-18",1
"639","2018-03-19",1
"640","2018-03-20",2
"641","2018-03-21",2
"642","2018-03-22",2
"643","2018-03-23",1
"644","2018-03-25",2
"645","2018-03-26",2
"646","2018-03-27",1
"647","2018-03-28",3
"648","2018-03-29",1
"649","2018-03-31",1
"650","2018-04-01",1
"651","2018-04-02",1
"652","2018-04-03",4
"653","2018-04-04",2
"654","2018-04-07",1
"655","2018-04-10",1
"656","2018-04-11",1
"657","2018-04-13",3
"658","2018-04-14",1
"659","2018-04-16",1
"660","2018-04-17",1
"661","2018-04-19",2
"662","2018-04-20",1
"663","2018-04-27",1
"664","2018-04-28",1
"665","2018-04-30",1
"666","2018-05-01",2
"667","2018-05-03",3
"668","2018-05-04",1
"669","2018-05-05",1
"670","2018-05-06",2
"671","2018-05-08",2
"672","2018-05-09",1
"673","2018-05-11",1
"674","2018-05-14",2
"675","2018-05-15",2
"676","2018-05-17",1
"677","2018-05-18",1
"678","2018-05-21",2
"679","2018-05-24",1
"680","2018-05-25",1
"681","2018-05-27",1
"682","2018-05-29",1
"683","2018-06-04",4
"684","2018-06-06",1
"685","2018-06-07",1
"686","2018-06-10",2
"687","2018-06-11",2
"688","2018-06-12",2
"689","2018-06-13",1
"690","2018-06-14",1
"691","2018-06-16",1
"692","2018-06-17",1
"693","2018-06-21",2
"694","2018-06-27",2
"695","2018-06-28",1
"696","2018-06-29",1
"697","2018-07-02",4
"698","2018-07-03",2
"699","2018-07-04",2
"700","2018-07-05",1
"701","2018-07-10",1
"702","2018-07-12",3
"703","2018-07-13",1
"704","2018-07-15",4
"705","2018-07-16",4
"706","2018-07-17",2
"707","2018-07-18",3
"708","2018-07-19",1
"709","2018-07-21",2
"710","2018-07-22",1
"711","2018-07-23",3
"712","2018-07-24",1
"713","2018-07-25",1
"714","2018-07-26",1
"715","2018-07-27",1
"716","2018-07-28",1
"717","2018-07-31",2
"718","2018-08-01",1
"719","2018-08-02",3
"720","2018-08-04",1
"721","2018-08-08",6
"722","2018-08-09",3
"723","2018-08-10",1
"724","2018-08-13",4
