"","Time","sum"
"489",2017-12-07,9
"490",2017-12-08,7
"491",2017-12-10,1
"492",2017-12-11,4
"493",2017-12-12,3
"494",2017-12-13,2
"495",2017-12-15,2
"496",2017-12-17,2
"497",2017-12-18,1
"498",2017-12-20,2
"499",2017-12-21,1
"500",2017-12-22,3
"501",2017-12-23,2
"502",2017-12-24,3
"503",2017-12-27,1
"504",2017-12-28,4
"505",2017-12-29,2
"506",2017-12-30,3
"507",2017-12-31,4
"508",2018-01-01,1
"509",2018-01-02,3
"510",2018-01-03,2
"511",2018-01-04,1
"512",2018-01-05,1
"513",2018-01-06,1
"514",2018-01-07,2
"515",2018-01-08,1
"516",2018-01-09,1
"517",2018-01-10,4
"518",2018-01-11,4
"519",2018-01-13,1
"520",2018-01-15,1
"521",2018-01-16,2
"522",2018-01-17,4
"523",2018-01-18,3
"524",2018-01-19,1
"525",2018-01-21,1
"526",2018-01-22,8
"527",2018-01-23,3
"528",2018-01-24,5
"529",2018-01-25,4
"530",2018-01-27,1
"531",2018-01-28,5
"532",2018-01-29,2
"533",2018-01-30,3
"534",2018-01-31,1
"535",2018-02-01,1
"536",2018-02-02,5
"537",2018-02-03,1
"538",2018-02-04,1
"539",2018-02-05,1
"540",2018-02-06,6
"541",2018-02-07,3
"542",2018-02-08,2
"543",2018-02-09,1
"544",2018-02-10,2
"545",2018-02-12,3
"546",2018-02-13,1
"547",2018-02-14,1
"548",2018-02-15,2
"549",2018-02-18,2
"550",2018-02-19,1
"551",2018-02-20,1
"552",2018-02-21,1
"553",2018-02-22,1
"554",2018-02-23,2
"555",2018-02-26,2
"556",2018-02-27,2
"557",2018-02-28,1
"558",2018-03-01,1
"559",2018-03-02,3
"560",2018-03-04,3
"561",2018-03-08,1
"562",2018-03-09,1
"563",2018-03-10,1
"564",2018-03-12,1
"565",2018-03-13,1
"566",2018-03-14,2
"567",2018-03-15,2
"568",2018-03-16,2
"569",2018-03-18,2
"570",2018-03-20,2
"571",2018-03-21,2
"572",2018-03-28,2
"573",2018-04-04,1
"574",2018-04-05,1
"575",2018-04-07,1
"576",2018-04-08,1
"577",2018-04-10,1
"578",2018-04-12,1
"579",2018-04-14,1
"580",2018-04-16,1
"581",2018-04-17,2
"582",2018-04-18,2
"583",2018-04-19,2
"584",2018-04-23,3
"585",2018-04-24,3
"586",2018-04-26,1
"587",2018-04-27,1
"588",2018-05-02,1
"589",2018-05-06,1
"590",2018-05-11,1
"591",2018-05-13,1
"592",2018-05-14,1
"593",2018-05-18,1
"594",2018-05-22,1
"595",2018-05-23,1
"596",2018-05-28,1
"597",2018-06-06,1
"598",2018-06-09,1
"599",2018-06-11,1
"600",2018-06-13,1
"601",2018-06-14,1
"602",2018-06-15,1
"603",2018-06-16,1
"604",2018-06-20,1
"605",2018-06-24,1
"606",2018-06-28,1
"607",2018-06-30,1
"608",2018-07-08,1
"609",2018-07-13,1
"610",2018-07-16,1
"611",2018-07-17,2
"612",2018-07-24,2
"613",2018-07-25,1
"614",2018-07-29,1
"615",2018-08-01,2
"616",2018-08-03,1
"617",2018-08-06,1
"618",2018-08-09,1
"619",2018-08-10,1
"620",2018-08-21,3
"621",2018-08-22,1
"622",2018-08-29,1
"623",2018-09-05,2
"624",2018-09-06,3
"625",2018-09-08,1
"626",2018-09-19,3
"627",2018-09-21,1
"628",2018-10-03,1
"629",2018-10-04,2
"630",2018-10-07,1
"631",2018-10-11,1
"632",2018-10-12,1
"633",2018-10-17,1
"634",2018-10-27,1
"635",2018-10-28,1
"636",2018-11-01,1
"637",2018-11-05,3
"638",2018-11-09,1
"639",2018-11-10,1
"640",2018-11-14,1
"641",2018-11-19,1
"642",2018-11-20,5
"643",2018-11-21,1
"644",2018-11-24,1
"645",2018-11-25,1
"646",2018-11-28,5
