"","Time","n"
"492","2015-04-07",39
"493","2015-04-08",36
"494","2015-04-09",38
"495","2015-04-10",56
"496","2015-04-11",28
"497","2015-04-12",35
"498","2015-04-13",56
"499","2015-04-14",37
"500","2015-04-15",47
"501","2015-04-16",47
"502","2015-04-17",50
"503","2015-04-18",23
"504","2015-04-19",26
"505","2015-04-20",43
"506","2015-04-21",40
"507","2015-04-22",64
"508","2015-04-23",40
"509","2015-04-24",30
"510","2015-04-25",28
"511","2015-04-26",47
"512","2015-04-27",43
"513","2015-04-28",67
"514","2015-04-29",65
"515","2015-04-30",46
"516","2015-05-01",66
"517","2015-05-02",24
"518","2015-05-03",32
"519","2015-05-04",37
"520","2015-05-05",46
"521","2015-05-06",50
"522","2015-05-07",56
"523","2015-05-08",48
"524","2015-05-09",30
"525","2015-05-10",33
"526","2015-05-11",56
"527","2015-05-12",54
"528","2015-05-13",46
"529","2015-05-14",49
"530","2015-05-15",39
"531","2015-05-16",21
"532","2015-05-17",28
"533","2015-05-18",51
"534","2015-05-19",39
"535","2015-05-20",44
"536","2015-05-21",44
"537","2015-05-22",48
"538","2015-05-23",23
"539","2015-05-24",32
"540","2015-05-25",34
"541","2015-05-26",38
"542","2015-05-27",50
"543","2015-05-28",39
"544","2015-05-29",42
"545","2015-05-30",22
"546","2015-05-31",26
"547","2015-06-01",48
"548","2015-06-02",71
"549","2015-06-03",51
"550","2015-06-04",50
"551","2015-06-05",47
"552","2015-06-06",18
"553","2015-06-07",16
"554","2015-06-08",57
"555","2015-06-09",48
"556","2015-06-10",40
"557","2015-06-11",48
"558","2015-06-12",62
"559","2015-06-13",17
"560","2015-06-14",29
"561","2015-06-15",51
"562","2015-06-16",42
"563","2015-06-17",63
"564","2015-06-18",51
"565","2015-06-19",49
"566","2015-06-20",23
"567","2015-06-21",20
"568","2015-06-22",51
"569","2015-06-23",43
"570","2015-06-24",55
"571","2015-06-25",53
"572","2015-06-26",47
"573","2015-06-27",24
"574","2015-06-28",29
"575","2015-06-29",47
"576","2015-06-30",42
"577","2015-07-01",62
"578","2015-07-02",42
"579","2015-07-03",54
"580","2015-07-04",20
"581","2015-07-05",27
"582","2015-07-06",58
"583","2015-07-07",46
"584","2015-07-08",60
"585","2015-07-09",54
"586","2015-07-10",44
"587","2015-07-11",27
"588","2015-07-12",22
"589","2015-07-13",46
"590","2015-07-14",57
"591","2015-07-15",54
"592","2015-07-16",60
"593","2015-07-17",55
"594","2015-07-18",27
"595","2015-07-19",25
"596","2015-07-20",47
"597","2015-07-21",59
"598","2015-07-22",52
"599","2015-07-23",35
"600","2015-07-24",55
"601","2015-07-25",17
"602","2015-07-26",15
"603","2015-07-27",46
"604","2015-07-28",39
"605","2015-07-29",37
"606","2015-07-30",46
"607","2015-07-31",40
"608","2015-08-01",18
"609","2015-08-02",17
"610","2015-08-03",42
"611","2015-08-04",47
"612","2015-08-05",49
"613","2015-08-06",49
"614","2015-08-07",48
"615","2015-08-08",20
"616","2015-08-09",24
"617","2015-08-10",44
"618","2015-08-11",62
"619","2015-08-12",49
"620","2015-08-13",53
"621","2015-08-14",41
"622","2015-08-15",16
"623","2015-08-16",22
"624","2015-08-17",43
"625","2015-08-18",58
"626","2015-08-19",49
"627","2015-08-20",46
"628","2015-08-21",42
"629","2015-08-22",29
"630","2015-08-23",28
"631","2015-08-24",51
"632","2015-08-25",58
"633","2015-08-26",42
"634","2015-08-27",56
"635","2015-08-28",48
"636","2015-08-29",24
"637","2015-08-30",17
"638","2015-08-31",33
"639","2015-09-01",59
"640","2015-09-02",59
"641","2015-09-03",60
"642","2015-09-04",47
"643","2015-09-05",20
"644","2015-09-06",27
"645","2015-09-07",50
"646","2015-09-08",52
"647","2015-09-09",51
"648","2015-09-10",52
"649","2015-09-11",55
"650","2015-09-12",29
"651","2015-09-13",34
"652","2015-09-14",42
"653","2015-09-15",50
"654","2015-09-16",73
"655","2015-09-17",49
"656","2015-09-18",56
"657","2015-09-19",28
"658","2015-09-20",32
"659","2015-09-21",54
"660","2015-09-22",52
"661","2015-09-23",49
"662","2015-09-24",57
"663","2015-09-25",54
"664","2015-09-26",25
"665","2015-09-27",35
"666","2015-09-28",40
"667","2015-09-29",37
"668","2015-09-30",42
"669","2015-10-01",57
"670","2015-10-02",44
"671","2015-10-03",25
"672","2015-10-04",29
"673","2015-10-05",54
"674","2015-10-06",46
"675","2015-10-07",44
"676","2015-10-08",49
"677","2015-10-09",53
"678","2015-10-10",17
"679","2015-10-11",31
"680","2015-10-12",46
"681","2015-10-13",53
"682","2015-10-14",49
"683","2015-10-15",42
"684","2015-10-16",43
"685","2015-10-17",20
"686","2015-10-18",18
"687","2015-10-19",39
"688","2015-10-20",50
"689","2015-10-21",40
"690","2015-10-22",38
"691","2015-10-23",41
"692","2015-10-24",26
"693","2015-10-25",29
"694","2015-10-26",39
"695","2015-10-27",34
"696","2015-10-28",39
"697","2015-10-29",53
"698","2015-10-30",44
"699","2015-10-31",18
"700","2015-11-01",37
"701","2015-11-02",41
"702","2015-11-03",53
"703","2015-11-04",55
"704","2015-11-05",51
"705","2015-11-06",44
"706","2015-11-07",25
"707","2015-11-08",35
"708","2015-11-09",56
"709","2015-11-10",43
"710","2015-11-11",46
"711","2015-11-12",48
"712","2015-11-13",48
"713","2015-11-14",33
"714","2015-11-15",30
"715","2015-11-16",55
"716","2015-11-17",54
"717","2015-11-18",33
"718","2015-11-19",56
"719","2015-11-20",60
"720","2015-11-21",22
"721","2015-11-22",28
"722","2015-11-23",46
"723","2015-11-24",40
"724","2015-11-25",55
"725","2015-11-26",46
"726","2015-11-27",50
"727","2015-11-28",29
"728","2015-11-29",30
"729","2015-11-30",42
"730","2015-12-01",47
"731","2015-12-02",47
"732","2015-12-03",44
"733","2015-12-04",42
"734","2015-12-05",24
"735","2015-12-06",45
"736","2015-12-07",54
"737","2015-12-08",52
"738","2015-12-09",48
"739","2015-12-10",47
"740","2015-12-11",54
"741","2015-12-12",29
"742","2015-12-13",34
"743","2015-12-14",36
"744","2015-12-15",41
"745","2015-12-16",49
"746","2015-12-17",53
"747","2015-12-18",37
"748","2015-12-19",21
"749","2015-12-20",25
"750","2015-12-21",47
"751","2015-12-22",39
"752","2015-12-23",38
"753","2015-12-24",17
"754","2015-12-25",12
"755","2015-12-26",16
"756","2015-12-27",19
"757","2015-12-28",21
"758","2015-12-29",49
"759","2015-12-30",30
"760","2015-12-31",35
"761","2016-01-01",27
"762","2016-01-02",15
"763","2016-01-03",26
"764","2016-01-04",48
"765","2016-01-05",49
"766","2016-01-06",51
"767","2016-01-07",46
"768","2016-01-08",44
"769","2016-01-09",20
"770","2016-01-10",30
"771","2016-01-11",63
"772","2016-01-12",50
"773","2016-01-13",45
"774","2016-01-14",58
"775","2016-01-15",60
"776","2016-01-16",24
"777","2016-01-17",36
"778","2016-01-18",39
"779","2016-01-19",45
"780","2016-01-20",56
"781","2016-01-21",48
"782","2016-01-22",46
"783","2016-01-23",26
"784","2016-01-24",29
"785","2016-01-25",51
"786","2016-01-26",53
"787","2016-01-27",67
"788","2016-01-28",61
"789","2016-01-29",52
"790","2016-01-30",23
"791","2016-01-31",25
"792","2016-02-01",52
"793","2016-02-02",67
"794","2016-02-03",49
"795","2016-02-04",51
"796","2016-02-05",52
"797","2016-02-06",22
"798","2016-02-07",30
"799","2016-02-08",47
"800","2016-02-09",48
"801","2016-02-10",52
"802","2016-02-11",54
"803","2016-02-12",64
"804","2016-02-13",22
"805","2016-02-14",55
"806","2016-02-15",40
"807","2016-02-16",49
"808","2016-02-17",44
"809","2016-02-18",45
"810","2016-02-19",49
"811","2016-02-20",21
"812","2016-02-21",34
"813","2016-02-22",56
"814","2016-02-23",48
"815","2016-02-24",59
"816","2016-02-25",52
"817","2016-02-26",48
"818","2016-02-27",20
"819","2016-02-28",23
"820","2016-02-29",62
"821","2016-03-01",48
"822","2016-03-02",58
"823","2016-03-03",47
"824","2016-03-04",57
"825","2016-03-05",21
"826","2016-03-06",31
"827","2016-03-07",52
"828","2016-03-08",50
"829","2016-03-09",61
"830","2016-03-10",46
"831","2016-03-11",54
"832","2016-03-12",22
"833","2016-03-13",26
"834","2016-03-14",51
"835","2016-03-15",57
"836","2016-03-16",59
"837","2016-03-17",51
"838","2016-03-18",52
"839","2016-03-19",28
"840","2016-03-20",29
"841","2016-03-21",54
"842","2016-03-22",51
"843","2016-03-23",55
"844","2016-03-24",53
"845","2016-03-25",30
"846","2016-03-26",20
"847","2016-03-27",20
"848","2016-03-28",26
"849","2016-03-29",49
"850","2016-03-30",46
"851","2016-03-31",52
"852","2016-04-01",47
"853","2016-04-02",19
"854","2016-04-03",31
"855","2016-04-04",47
"856","2016-04-05",43
"857","2016-04-06",43
"858","2016-04-07",46
"859","2016-04-08",43
"860","2016-04-09",21
"861","2016-04-10",31
"862","2016-04-11",50
"863","2016-04-12",55
"864","2016-04-13",54
"865","2016-04-14",54
"866","2016-04-15",50
"867","2016-04-16",20
"868","2016-04-17",29
"869","2016-04-18",38
"870","2016-04-19",44
"871","2016-04-20",48
"872","2016-04-21",44
"873","2016-04-22",47
"874","2016-04-23",18
"875","2016-04-24",28
"876","2016-04-25",50
"877","2016-04-26",47
"878","2016-04-27",53
"879","2016-04-28",38
"880","2016-04-29",44
"881","2016-04-30",18
"882","2016-05-01",24
"883","2016-05-02",30
"884","2016-05-03",65
"885","2016-05-04",43
"886","2016-05-05",50
"887","2016-05-06",38
"888","2016-05-07",33
"889","2016-05-08",30
"890","2016-05-09",49
"891","2016-05-10",47
"892","2016-05-11",71
"893","2016-05-12",52
"894","2016-05-13",52
"895","2016-05-14",24
"896","2016-05-15",36
"897","2016-05-16",56
"898","2016-05-17",59
"899","2016-05-18",59
"900","2016-05-19",50
"901","2016-05-20",46
"902","2016-05-21",17
"903","2016-05-22",36
"904","2016-05-23",40
"905","2016-05-24",44
"906","2016-05-25",57
"907","2016-05-26",52
"908","2016-05-27",54
"909","2016-05-28",24
"910","2016-05-29",25
"911","2016-05-30",30
"912","2016-05-31",46
"913","2016-06-01",51
"914","2016-06-02",57
"915","2016-06-03",57
"916","2016-06-04",21
"917","2016-06-05",30
"918","2016-06-06",54
"919","2016-06-07",57
"920","2016-06-08",58
"921","2016-06-09",50
"922","2016-06-10",63
"923","2016-06-11",21
"924","2016-06-12",34
"925","2016-06-13",58
"926","2016-06-14",56
"927","2016-06-15",56
"928","2016-06-16",61
"929","2016-06-17",56
"930","2016-06-18",32
"931","2016-06-19",31
"932","2016-06-20",50
"933","2016-06-21",54
"934","2016-06-22",58
"935","2016-06-23",60
"936","2016-06-24",62
"937","2016-06-25",35
"938","2016-06-26",39
"939","2016-06-27",52
"940","2016-06-28",59
"941","2016-06-29",57
"942","2016-06-30",53
"943","2016-07-01",65
"944","2016-07-02",33
"945","2016-07-03",47
"946","2016-07-04",40
"947","2016-07-05",61
"948","2016-07-06",45
"949","2016-07-07",45
"950","2016-07-08",59
"951","2016-07-09",24
"952","2016-07-10",30
"953","2016-07-11",49
"954","2016-07-12",53
"955","2016-07-13",49
"956","2016-07-14",45
"957","2016-07-15",46
"958","2016-07-16",18
"959","2016-07-17",20
"960","2016-07-18",53
"961","2016-07-19",49
"962","2016-07-20",52
"963","2016-07-21",44
"964","2016-07-22",51
"965","2016-07-23",24
"966","2016-07-24",28
"967","2016-07-25",45
"968","2016-07-26",48
"969","2016-07-27",33
"970","2016-07-28",39
"971","2016-07-29",64
"972","2016-07-30",24
"973","2016-07-31",27
"974","2016-08-01",34
"975","2016-08-02",42
"976","2016-08-03",39
"977","2016-08-04",51
"978","2016-08-05",51
"979","2016-08-06",18
"980","2016-08-07",26
"981","2016-08-08",49
"982","2016-08-09",54
"983","2016-08-10",46
"984","2016-08-11",43
"985","2016-08-12",45
"986","2016-08-13",29
"987","2016-08-14",29
"988","2016-08-15",44
"989","2016-08-16",55
"990","2016-08-17",50
"991","2016-08-18",44
"992","2016-08-19",42
"993","2016-08-20",30
"994","2016-08-21",30
"995","2016-08-22",38
"996","2016-08-23",41
"997","2016-08-24",42
"998","2016-08-25",44
"999","2016-08-26",37
"1000","2016-08-27",24
"1001","2016-08-28",26
"1002","2016-08-29",25
"1003","2016-08-30",47
"1004","2016-08-31",37
"1005","2016-09-01",40
"1006","2016-09-02",39
"1007","2016-09-03",25
"1008","2016-09-04",22
"1009","2016-09-05",25
"1010","2016-09-06",40
"1011","2016-09-07",41
"1012","2016-09-08",51
"1013","2016-09-09",47
"1014","2016-09-10",22
"1015","2016-09-11",30
"1016","2016-09-12",44
"1017","2016-09-13",54
"1018","2016-09-14",50
"1019","2016-09-15",34
"1020","2016-09-16",38
"1021","2016-09-17",22
"1022","2016-09-18",33
"1023","2016-09-19",37
"1024","2016-09-20",44
"1025","2016-09-21",43
"1026","2016-09-22",40
"1027","2016-09-23",40
"1028","2016-09-24",16
"1029","2016-09-25",22
"1030","2016-09-26",42
"1031","2016-09-27",45
"1032","2016-09-28",43
"1033","2016-09-29",39
"1034","2016-09-30",42
"1035","2016-10-01",25
"1036","2016-10-02",33
"1037","2016-10-03",46
"1038","2016-10-04",38
"1039","2016-10-05",49
"1040","2016-10-06",40
"1041","2016-10-07",39
"1042","2016-10-08",27
"1043","2016-10-09",36
"1044","2016-10-10",50
"1045","2016-10-11",52
"1046","2016-10-12",48
"1047","2016-10-13",37
"1048","2016-10-14",46
"1049","2016-10-15",23
"1050","2016-10-16",20
"1051","2016-10-17",44
"1052","2016-10-18",47
"1053","2016-10-19",56
"1054","2016-10-20",46
"1055","2016-10-21",44
"1056","2016-10-22",24
"1057","2016-10-23",24
"1058","2016-10-24",39
"1059","2016-10-25",43
"1060","2016-10-26",52
"1061","2016-10-27",41
"1062","2016-10-28",47
"1063","2016-10-29",23
"1064","2016-10-30",31
"1065","2016-10-31",43
"1066","2016-11-01",56
"1067","2016-11-02",41
"1068","2016-11-03",29
"1069","2016-11-04",38
"1070","2016-11-05",30
"1071","2016-11-06",29
"1072","2016-11-07",32
"1073","2016-11-08",54
"1074","2016-11-09",53
"1075","2016-11-10",50
"1076","2016-11-11",44
"1077","2016-11-12",27
"1078","2016-11-13",36
"1079","2016-11-14",52
"1080","2016-11-15",40
"1081","2016-11-16",49
"1082","2016-11-17",36
"1083","2016-11-18",45
"1084","2016-11-19",17
"1085","2016-11-20",30
"1086","2016-11-21",53
"1087","2016-11-22",45
"1088","2016-11-23",50
"1089","2016-11-24",33
"1090","2016-11-25",41
"1091","2016-11-26",21
"1092","2016-11-27",36
"1093","2016-11-28",44
"1094","2016-11-29",40
"1095","2016-11-30",50
"1096","2016-12-01",42
"1097","2016-12-02",48
"1098","2016-12-03",24
"1099","2016-12-04",33
"1100","2016-12-05",53
"1101","2016-12-06",40
"1102","2016-12-07",39
"1103","2016-12-08",32
"1104","2016-12-09",35
"1105","2016-12-10",18
"1106","2016-12-11",21
