"","Time","n"
"391","2014-12-27",8
"392","2014-12-28",6
"393","2014-12-29",13
"394","2014-12-30",12
"395","2014-12-31",11
"396","2015-01-01",8
"397","2015-01-02",23
"398","2015-01-03",5
"399","2015-01-04",6
"400","2015-01-05",19
"401","2015-01-06",19
"402","2015-01-07",20
"403","2015-01-08",10
"404","2015-01-09",23
"405","2015-01-10",4
"406","2015-01-11",5
"407","2015-01-12",13
"408","2015-01-13",15
"409","2015-01-14",16
"410","2015-01-15",19
"411","2015-01-16",22
"412","2015-01-17",7
"413","2015-01-18",9
"414","2015-01-19",9
"415","2015-01-20",13
"416","2015-01-21",20
"417","2015-01-22",12
"418","2015-01-23",21
"419","2015-01-24",2
"420","2015-01-25",11
"421","2015-01-26",25
"422","2015-01-27",24
"423","2015-01-28",32
"424","2015-01-29",16
"425","2015-01-30",19
"426","2015-01-31",7
"427","2015-02-01",8
"428","2015-02-02",14
"429","2015-02-03",17
"430","2015-02-04",20
"431","2015-02-05",23
"432","2015-02-06",24
"433","2015-02-07",5
"434","2015-02-08",9
"435","2015-02-09",20
"436","2015-02-10",23
"437","2015-02-11",14
"438","2015-02-12",14
"439","2015-02-13",27
"440","2015-02-14",10
"441","2015-02-15",5
"442","2015-02-16",15
"443","2015-02-17",21
"444","2015-02-18",14
"445","2015-02-19",26
"446","2015-02-20",11
"447","2015-02-21",8
"448","2015-02-22",13
"449","2015-02-23",17
"450","2015-02-24",11
"451","2015-02-25",12
"452","2015-02-26",24
"453","2015-02-27",12
"454","2015-02-28",15
"455","2015-03-01",11
"456","2015-03-02",19
"457","2015-03-03",19
"458","2015-03-04",26
"459","2015-03-05",6
"460","2015-03-06",21
"461","2015-03-07",9
"462","2015-03-08",9
"463","2015-03-09",12
"464","2015-03-10",12
"465","2015-03-11",19
"466","2015-03-12",17
"467","2015-03-13",16
"468","2015-03-14",10
"469","2015-03-15",8
"470","2015-03-16",25
"471","2015-03-17",21
"472","2015-03-18",20
"473","2015-03-19",18
"474","2015-03-20",12
"475","2015-03-21",6
"476","2015-03-22",7
"477","2015-03-23",15
"478","2015-03-24",20
"479","2015-03-25",29
"480","2015-03-26",16
"481","2015-03-27",20
"482","2015-03-28",7
"483","2015-03-29",10
"484","2015-03-30",17
"485","2015-03-31",16
"486","2015-04-01",18
"487","2015-04-02",12
"488","2015-04-03",10
"489","2015-04-04",5
"490","2015-04-05",9
"491","2015-04-06",18
"492","2015-04-07",15
"493","2015-04-08",12
"494","2015-04-09",11
"495","2015-04-10",21
"496","2015-04-11",7
"497","2015-04-12",10
"498","2015-04-13",20
"499","2015-04-14",14
"500","2015-04-15",20
"501","2015-04-16",15
"502","2015-04-17",16
"503","2015-04-18",10
"504","2015-04-19",3
"505","2015-04-20",11
"506","2015-04-21",13
"507","2015-04-22",14
"508","2015-04-23",22
"509","2015-04-24",15
"510","2015-04-25",9
"511","2015-04-26",12
"512","2015-04-27",17
"513","2015-04-28",23
"514","2015-04-29",24
"515","2015-04-30",20
"516","2015-05-01",22
"517","2015-05-02",9
"518","2015-05-03",13
"519","2015-05-04",8
"520","2015-05-05",14
"521","2015-05-06",26
"522","2015-05-07",21
"523","2015-05-08",13
"524","2015-05-09",7
"525","2015-05-10",13
"526","2015-05-11",13
"527","2015-05-12",16
"528","2015-05-13",17
"529","2015-05-14",17
"530","2015-05-15",17
"531","2015-05-16",6
"532","2015-05-17",8
"533","2015-05-18",18
"534","2015-05-19",16
"535","2015-05-20",21
"536","2015-05-21",16
"537","2015-05-22",20
"538","2015-05-23",10
"539","2015-05-24",13
"540","2015-05-25",19
"541","2015-05-26",14
"542","2015-05-27",22
"543","2015-05-28",17
"544","2015-05-29",10
"545","2015-05-30",13
"546","2015-05-31",10
"547","2015-06-01",22
"548","2015-06-02",14
"549","2015-06-03",23
"550","2015-06-04",11
"551","2015-06-05",18
"552","2015-06-06",9
"553","2015-06-07",8
"554","2015-06-08",20
"555","2015-06-09",17
"556","2015-06-10",15
"557","2015-06-11",16
"558","2015-06-12",25
"559","2015-06-13",13
"560","2015-06-14",8
"561","2015-06-15",23
"562","2015-06-16",15
"563","2015-06-17",14
"564","2015-06-18",21
"565","2015-06-19",25
"566","2015-06-20",6
"567","2015-06-21",13
"568","2015-06-22",15
"569","2015-06-23",15
"570","2015-06-24",25
"571","2015-06-25",25
"572","2015-06-26",12
"573","2015-06-27",5
"574","2015-06-28",14
"575","2015-06-29",17
"576","2015-06-30",19
"577","2015-07-01",19
"578","2015-07-02",14
"579","2015-07-03",14
"580","2015-07-04",6
"581","2015-07-05",8
"582","2015-07-06",17
"583","2015-07-07",22
"584","2015-07-08",20
"585","2015-07-09",23
"586","2015-07-10",19
"587","2015-07-11",9
"588","2015-07-12",4
"589","2015-07-13",13
"590","2015-07-14",22
"591","2015-07-15",18
"592","2015-07-16",22
"593","2015-07-17",15
"594","2015-07-18",4
"595","2015-07-19",7
"596","2015-07-20",18
"597","2015-07-21",21
"598","2015-07-22",23
"599","2015-07-23",17
"600","2015-07-24",16
"601","2015-07-25",6
"602","2015-07-26",5
"603","2015-07-27",15
"604","2015-07-28",15
"605","2015-07-29",22
"606","2015-07-30",17
"607","2015-07-31",19
"608","2015-08-01",10
"609","2015-08-02",10
"610","2015-08-03",24
"611","2015-08-04",13
"612","2015-08-05",13
"613","2015-08-06",10
"614","2015-08-07",22
"615","2015-08-08",7
"616","2015-08-09",7
"617","2015-08-10",20
"618","2015-08-11",28
"619","2015-08-12",20
"620","2015-08-13",25
"621","2015-08-14",19
"622","2015-08-15",9
"623","2015-08-16",4
"624","2015-08-17",16
"625","2015-08-18",22
"626","2015-08-19",17
"627","2015-08-20",20
"628","2015-08-21",12
"629","2015-08-22",6
"630","2015-08-23",10
"631","2015-08-24",22
"632","2015-08-25",24
"633","2015-08-26",23
"634","2015-08-27",26
"635","2015-08-28",18
"636","2015-08-29",6
"637","2015-08-30",9
"638","2015-08-31",15
"639","2015-09-01",22
"640","2015-09-02",23
"641","2015-09-03",24
"642","2015-09-04",22
"643","2015-09-05",12
"644","2015-09-06",8
"645","2015-09-07",12
"646","2015-09-08",21
"647","2015-09-09",22
"648","2015-09-10",23
"649","2015-09-11",26
"650","2015-09-12",9
"651","2015-09-13",9
"652","2015-09-14",9
"653","2015-09-15",18
"654","2015-09-16",28
"655","2015-09-17",23
"656","2015-09-18",20
"657","2015-09-19",8
"658","2015-09-20",6
"659","2015-09-21",15
"660","2015-09-22",20
"661","2015-09-23",17
"662","2015-09-24",16
"663","2015-09-25",15
"664","2015-09-26",4
"665","2015-09-27",10
"666","2015-09-28",20
"667","2015-09-29",13
"668","2015-09-30",11
"669","2015-10-01",26
"670","2015-10-02",21
"671","2015-10-03",7
"672","2015-10-04",10
"673","2015-10-05",14
"674","2015-10-06",20
"675","2015-10-07",23
"676","2015-10-08",17
"677","2015-10-09",26
"678","2015-10-10",4
"679","2015-10-11",17
"680","2015-10-12",21
"681","2015-10-13",19
"682","2015-10-14",15
"683","2015-10-15",16
"684","2015-10-16",22
"685","2015-10-17",11
"686","2015-10-18",6
"687","2015-10-19",18
"688","2015-10-20",18
"689","2015-10-21",16
"690","2015-10-22",18
"691","2015-10-23",14
"692","2015-10-24",11
"693","2015-10-25",9
"694","2015-10-26",16
"695","2015-10-27",21
"696","2015-10-28",20
"697","2015-10-29",20
"698","2015-10-30",16
"699","2015-10-31",6
"700","2015-11-01",12
"701","2015-11-02",20
"702","2015-11-03",26
"703","2015-11-04",29
"704","2015-11-05",19
"705","2015-11-06",15
"706","2015-11-07",8
"707","2015-11-08",13
"708","2015-11-09",20
"709","2015-11-10",20
"710","2015-11-11",22
"711","2015-11-12",21
"712","2015-11-13",17
"713","2015-11-14",17
"714","2015-11-15",15
"715","2015-11-16",24
"716","2015-11-17",22
"717","2015-11-18",14
"718","2015-11-19",20
"719","2015-11-20",24
"720","2015-11-21",5
"721","2015-11-22",17
"722","2015-11-23",20
"723","2015-11-24",23
"724","2015-11-25",16
"725","2015-11-26",12
"726","2015-11-27",22
"727","2015-11-28",7
"728","2015-11-29",9
"729","2015-11-30",20
"730","2015-12-01",23
"731","2015-12-02",32
"732","2015-12-03",24
"733","2015-12-04",24
"734","2015-12-05",14
"735","2015-12-06",19
"736","2015-12-07",24
"737","2015-12-08",16
"738","2015-12-09",19
"739","2015-12-10",16
"740","2015-12-11",9
"741","2015-12-12",9
"742","2015-12-13",10
"743","2015-12-14",9
"744","2015-12-15",16
"745","2015-12-16",19
"746","2015-12-17",27
"747","2015-12-18",16
"748","2015-12-19",11
"749","2015-12-20",9
"750","2015-12-21",16
"751","2015-12-22",17
"752","2015-12-23",16
"753","2015-12-24",6
"754","2015-12-25",9
"755","2015-12-26",7
"756","2015-12-27",8
"757","2015-12-28",7
"758","2015-12-29",23
"759","2015-12-30",22
"760","2015-12-31",13
"761","2016-01-01",13
"762","2016-01-02",9
"763","2016-01-03",7
"764","2016-01-04",20
"765","2016-01-05",21
"766","2016-01-06",26
"767","2016-01-07",28
"768","2016-01-08",28
"769","2016-01-09",10
"770","2016-01-10",18
"771","2016-01-11",21
"772","2016-01-12",21
"773","2016-01-13",27
"774","2016-01-14",21
"775","2016-01-15",28
"776","2016-01-16",8
"777","2016-01-17",9
"778","2016-01-18",16
"779","2016-01-19",20
"780","2016-01-20",25
"781","2016-01-21",19
"782","2016-01-22",20
"783","2016-01-23",7
