Date,Open,High,Low,Close,Adj Close,Volume,Hit
2/15/2016,103.800003,106,100.239998,104.57,104.57,151758600,22
2/22/2016,105.489998,109.449997,102.739998,107.919998,107.919998,152033900,18
2/29/2016,107.599998,110.550003,106.75,108.389999,108.389999,131558500,26
3/7/2016,108.07,109.419998,104.400002,109.410004,109.410004,123098600,26
3/14/2016,109.279999,112.690002,108.769997,111.449997,111.449997,120110800,27
3/21/2016,111.660004,113.190002,111.029999,113.050003,113.050003,73850200,23
3/28/2016,113.32,116.989998,112.949997,116.059998,116.059998,130380300,32
4/4/2016,114.07,114.889999,109.900002,110.629997,110.629997,161477200,31
4/11/2016,110.699997,112.650002,106.519997,109.639999,109.639999,203633900,18
4/18/2016,109.739998,114.040001,109.010002,110.559998,110.559998,131664500,22
4/25/2016,109.870003,120.790001,106.309998,117.580002,117.580002,220003200,26
5/2/2016,117.830002,119.639999,116.57,119.489998,119.489998,123934000,22
5/9/2016,119.540001,121.080002,118.900002,119.809998,119.809998,106556300,9
5/16/2016,119.379997,119.610001,115.879997,117.349998,117.349998,113707600,18
5/23/2016,117.419998,119.849998,115.940002,119.379997,119.379997,92590100,14
5/30/2016,119.459999,120.099998,117.82,118.470001,118.470001,65940500,10
6/6/2016,118.620003,119.43,116.260002,116.620003,116.620003,76723300,32
6/13/2016,115,115.480003,112.559998,113.019997,113.019997,113036700,9
6/20/2016,113.769997,115.209999,111,112.080002,112.080002,111618000,14
6/27/2016,111.57,115.18,108.230003,114.190002,114.190002,122085200,9
7/4/2016,113.940002,117.5,112.970001,117.239998,117.239998,73317400,35
7/11/2016,117.709999,118.720001,116.580002,116.860001,116.860001,80362700,29
7/18/2016,117.32,122.199997,116.889999,121,121,98680300,14
7/25/2016,121.389999,128.330002,117.779999,123.940002,123.940002,202768200,33
8/1/2016,123.849998,125.839996,122.07,125.150002,125.150002,108750600,10
8/8/2016,125.25,126.089996,124.18,124.879997,124.879997,69413500,20
8/15/2016,124.910004,124.919998,122.779999,123.559998,123.559998,71400800,31
8/22/2016,123.330002,125.190002,123.089996,124.959999,124.959999,68175200,15
8/29/2016,124.349998,126.860001,124.349998,126.510002,126.510002,73585700,18
9/5/2016,126.669998,131.979996,126.470001,127.099998,127.099998,97046500,14
9/12/2016,125.959999,129.179993,125.75,129.070007,129.070007,94156500,22
9/19/2016,129.910004,130.729996,127.300003,127.959999,127.959999,83975500,13
9/26/2016,127.370003,129.470001,126.800003,128.270004,128.270004,75684700,22
10/3/2016,128.380005,129.279999,127.550003,128.990005,128.990005,64338300,22
10/10/2016,129.679993,130.699997,126.75,127.879997,127.879997,74234200,18
10/17/2016,128.199997,132.130005,127.32,132.070007,132.070007,73864300,9
10/24/2016,132.720001,133.5,129.270004,131.289993,131.289993,85178600,18
10/31/2016,132.009995,132.119995,119.25,120.75,120.75,171699500,18
11/7/2016,122.830002,124.610001,115.269997,119.019997,119.019997,174943400,33
11/14/2016,119.129997,119.129997,113.550003,117.019997,117.019997,159933400,22
11/21/2016,118.199997,122.980003,117.800003,120.379997,120.379997,85835300,37
11/28/2016,120.120003,122.099998,114,115.400002,115.400002,135528600,24
12/5/2016,115.949997,119.940002,115.07,119.68,119.68,101153900,8
12/12/2016,119.220001,122.5,117.610001,119.870003,119.870003,118950500,8
12/19/2016,119.849998,120.360001,116.300003,117.269997,117.269997,67518700,9
12/26/2016,116.959999,118.68,114.769997,115.050003,115.050003,52757900,18
1/2/2017,116.029999,123.879997,115.510002,123.410004,123.410004,88332300,13
1/9/2017,123.550003,129.270004,123.040001,128.339996,128.339996,102099700,8
1/16/2017,128.039993,128.479996,126.779999,127.040001,127.040001,59733100,25
1/23/2017,127.309998,133.139999,126.949997,132.179993,132.179993,90047200,20
1/30/2017,131.580002,135.490005,129.520004,130.979996,130.979996,168057700,20
2/6/2017,130.979996,134.940002,130.300003,134.190002,134.190002,85578000,8
2/13/2017,134.699997,134.699997,132.550003,133.529999,133.529999,66225200,16
2/20/2017,133.5,136.789993,132.899994,135.440002,135.440002,73167400,16
2/27/2017,135.259995,137.820007,134.75,137.169998,137.169998,70131200,27
3/6/2017,136.880005,139.490005,136.509995,138.789993,138.789993,68309200,27
3/13/2017,138.710007,140.339996,138.490005,139.839996,139.839996,77450000,16
3/20/2017,139.710007,142.309998,137.600006,140.339996,140.339996,88737200,16
3/27/2017,139.050003,142.949997,138.770004,142.050003,142.050003,67889800,16
4/3/2017,141.929993,143.440002,140.240005,140.779999,140.779999,70592400,16
4/10/2017,141,141.429993,138.809998,139.389999,139.389999,48255600,8
4/17/2017,139.759995,144.25,139.75,143.679993,143.679993,70241300,24
4/24/2017,144.960007,151.529999,144.339996,150.25,150.25,86497000,32
5/1/2017,151.740005,153.600006,148.720001,150.240005,150.240005,130245200,12
5/8/2017,150.710007,152.589996,148.860001,150.330002,150.330002,66802200,17
5/15/2017,150.169998,151.479996,144.419998,148.059998,148.059998,97135100,22
5/22/2017,148.080002,152.589996,147.25,152.130005,152.130005,78154500,13
5/29/2017,151.970001,153.630005,150.300003,153.610001,153.610001,62634900,9
6/5/2017,153.639999,155.589996,146.610001,149.600006,149.600006,91421300,13
6/12/2017,148.169998,152.399994,144.559998,150.639999,150.639999,116339000,22
6/19/2017,151.710007,155.199997,151.710007,155.070007,155.070007,79842700,38
6/26/2017,156.25,156.5,148.919998,150.979996,150.979996,95769100,27
7/3/2017,151.720001,152.149994,147.800003,151.440002,151.440002,56764700,14
7/10/2017,151.690002,160.320007,151.509995,159.970001,159.970001,80086200,35
7/17/2017,160.25,165.699997,158.809998,164.429993,164.429993,96122400,18
7/24/2017,164.639999,175.490005,163.860001,172.449997,172.449997,161455400,13
7/31/2017,172,172.720001,166.910004,169.619995,169.619995,78869200,17
8/7/2017,169.949997,173.050003,166.850006,168.080002,168.080002,72620200,30
8/14/2017,170.089996,171.5,166.210007,167.410004,167.410004,69772900,43
8/21/2017,167.160004,169.869995,165.820007,166.320007,166.320007,59799900,25
8/28/2017,166.910004,172.919998,165,172.020004,172.020004,59717100,25
9/4/2017,171.270004,173.490005,169.550003,170.949997,170.949997,56165200,8
9/11/2017,172.399994,174,170.259995,171.639999,171.639999,63953800,16
9/18/2017,171.990005,173.050003,169.220001,170.539993,170.539993,61645200,12
9/25/2017,169.240005,171.660004,161.559998,170.869995,170.869995,111376500,16
10/2/2017,171.389999,172.369995,168.289993,172.229996,172.229996,61415600,24
10/9/2017,172.699997,174.880005,170.800003,173.740005,173.740005,61204500,20
10/16/2017,174.490005,176.740005,172.630005,174.979996,174.979996,66891900,41
10/23/2017,175.199997,178.210007,168.889999,177.880005,177.880005,84107200,16
10/30/2017,179.259995,182.899994,176.710007,178.919998,178.919998,138797700,24
11/6/2017,178.559998,180.75,177.089996,178.460007,178.460007,60415500,8
11/13/2017,177.5,179.979996,176.399994,179,179,57988600,20
11/20/2017,178.869995,183.149994,178.100006,182.779999,182.779999,44359000,13
11/27/2017,182.559998,184.25,172.339996,175.100006,175.100006,114147800,16
12/4/2017,176.289993,182.279999,169.009995,179,179,105188400,59
12/11/2017,179.300003,180.490005,176.600006,180.179993,180.179993,86692500,28
12/18/2017,181.009995,181.300003,176.229996,177.199997,177.199997,64134200,30
12/25/2017,176.630005,178.940002,174.669998,176.460007,176.460007,40792900,0
1/1/2018,177.679993,186.899994,177.550003,186.850006,186.850006,62493900,25
1/8/2018,187.199997,188.899994,177.399994,179.369995,179.369995,127813200,36
1/15/2018,181.5,182.369995,175.800003,181.289993,181.289993,114307600,20
1/22/2018,180.800003,190.660004,180.410004,190,190,106209700,23
1/29/2018,188.75,195.320007,181.839996,190.279999,190.279999,165475700,23
2/5/2018,186.929993,190.610001,167.179993,176.110001,176.110001,176854500,27
2/12/2018,177.059998,180.5,171.839996,177.360001,177.360001,124398600,23
2/19/2018,175.770004,183.389999,175.110001,183.289993,183.289993,81877200,23
2/26/2018,184.580002,185.660004,172.990005,176.619995,176.619995,95460000,23
3/5/2018,176.199997,185.509995,175.889999,185.229996,185.229996,86125600,12
3/12/2018,185.229996,186.100006,181.110001,185.089996,185.089996,90208100,27
3/19/2018,177.009995,177.169998,159.020004,159.389999,159.389999,451264800,94
3/26/2018,160.820007,162.850006,149.020004,159.789993,159.789993,324697100,73
4/2/2018,157.809998,161.570007,150.509995,157.199997,157.199997,212319900,48
4/9/2018,157.820007,168.649994,156.039993,164.520004,164.520004,207202700,87
4/16/2018,165.720001,169,163.389999,166.279999,166.279999,102160100,58
4/23/2018,167.270004,177.100006,156.190002,173.589996,173.589996,206613200,27
4/30/2018,173.789993,178.080002,170.229996,176.610001,176.610001,118904800,39
