"","Date","Open","High","Low","Close","Adj.Close","Volume","Hit","x"
"198",2017-09-11,351.350006,380,350,379.809998,379.809998,30448200,25,NA
"199",2017-09-18,380.25,389.609985,350.880005,351.089996,351.089996,31336600,24,NA
"200",2017-09-25,353.149994,357.470001,335.399994,341.100006,341.100006,31249200,24,NA
"201",2017-10-02,342.519989,360.100006,331.279999,356.880005,356.880005,32073100,24,NA
"202",2017-10-09,349.649994,359.779999,342.670013,355.570007,355.570007,26600500,24,NA
"203",2017-10-16,353.76001,363,344.339996,345.100006,345.100006,23600100,24,NA
"204",2017-10-23,349.880005,349.950012,316.660004,320.869995,320.869995,30836300,24,NA
"205",2017-10-30,319.179993,332.609985,292.630005,306.089996,306.089996,47069400,25,NA
"206",2017-11-06,307,308.359985,296.299988,302.98999,302.98999,26578100,22,NA
"207",2017-11-13,300.130005,326.670013,299.109985,315.049988,315.049988,38796900,56,NA
"208",2017-11-20,313.790009,318.230011,304.75,315.549988,315.549988,23670700,47,NA
"209",2017-11-27,313.25,320,301.230011,306.529999,306.529999,26917300,29,NA
"210",2017-12-04,306.5,318.630005,300,315.130005,315.130005,25926000,26,NA
"211",2017-12-11,314.630005,347.440002,313.75,343.450012,343.450012,35625800,25,NA
"212",2017-12-18,344.899994,346.730011,324.820007,325.200012,325.200012,26856000,27,NA
"213",2017-12-25,323.829987,323.940002,309.540009,311.350006,311.350006,17184000,29,NA
"214",2018-01-01,312,325.25,305.679993,316.579987,316.579987,23411200,26,NA
"215",2018-01-08,316,344.809998,315.5,336.220001,336.220001,32786500,25,NA
"216",2018-01-15,337.540009,352.299988,334.799988,350.019989,350.019989,24132100,25,NA
"217",2018-01-22,349.399994,360.5,335.709991,342.850006,342.850006,28243000,27,NA
"218",2018-01-29,339.850006,359.660004,338.279999,343.75,343.75,23581400,27,NA
"219",2018-02-05,337.970001,348.619995,294.76001,310.420013,310.420013,39770000,56,NA
"220",2018-02-12,316.130005,343.119995,306.25,335.48999,335.48999,26294200,32,NA
"221",2018-02-19,334.470001,354.98999,331.5,352.049988,352.049988,20016200,27,NA
"222",2018-02-26,353.5,359.98999,322.970001,335.119995,335.119995,27185500,24,NA
"223",2018-03-05,332.390015,337.75,321.73999,327.170013,327.170013,22189800,24,NA
"224",2018-03-12,328.609985,347.209991,319.070007,321.350006,321.350006,34879300,24,NA
"225",2018-03-19,316.5,322.440002,300.450012,301.540009,301.540009,29801700,24,NA
"226",2018-03-26,307.339996,307.589996,248.210007,266.130005,266.130005,58419300,36,NA
"227",2018-04-02,256.26001,309.279999,244.589996,299.299988,299.299988,87496500,34,NA
"228",2018-04-09,300.369995,309.5,289.209991,300.339996,300.339996,43658500,27,NA
"229",2018-04-16,299,301.01001,282.51001,290.23999,290.23999,31614700,27,NA
"230",2018-04-23,291.290009,294.470001,276.5,294.079987,294.079987,23312900,25,NA
"231",2018-04-30,293.609985,306.850006,275.230011,294.089996,294.089996,43745700,31,NA
"232",2018-05-07,297.5,312.98999,295.170013,301.059998,301.059998,30666800,31,NA
"233",2018-05-14,303.320007,304.940002,274,276.820007,276.820007,34152500,29,NA
"234",2018-05-21,281.329987,291.48999,273.420013,278.850006,278.850006,32149600,29,NA
"235",2018-05-28,278.51001,295.01001,276.149994,291.820007,291.820007,24471900,26,NA
"236",2018-06-04,294.339996,330,286.73999,317.660004,317.660004,52080300,26,NA
"237",2018-06-11,322.51001,364.670013,322.5,358.170013,358.170013,66830000,28,NA
"238",2018-06-18,355.399994,373.730011,332,333.630005,333.630005,51452000,28,NA
"239",2018-06-25,330.119995,357.019989,325.799988,342.950012,342.950012,37607900,29,NA
"240",2018-07-02,360.070007,364.779999,296.220001,308.899994,308.899994,57384300,31,NA
"241",2018-07-09,311.98999,327.679993,308,318.869995,318.869995,33543400,31,NA
"242",2018-07-16,311.709991,325.5,306.25,313.579987,313.579987,31516600,30,NA
"243",2018-07-23,301.839996,310.700012,292.549988,297.179993,297.179993,37992900,31,NA
"244",2018-07-30,295.899994,355,286.130005,348.170013,348.170013,58891900,37,NA
"245",2018-08-06,345.459991,387.459991,339.149994,355.48999,355.48999,92667000,44,NA
"246",2018-08-13,361.130005,363.190002,303.529999,305.5,305.5,51560500,35,NA
"247",2018-08-20,291.700012,327.320007,288.200012,322.820007,322.820007,45270400,35,NA
"248",2018-08-27,318,322.440002,297.720001,301.660004,301.660004,40767600,30,NA
"249",2018-09-03,296.940002,298.190002,252.25,263.23999,263.23999,46044000,39,NA
"250",2018-09-10,273.26001,297.329987,271,295.200012,295.200012,46574800,38,NA
"251",2018-09-17,290.040009,305.980011,275.5,299.100006,299.100006,44129900,33,NA
"252",2018-09-24,298.480011,314.959991,260.559998,264.769989,264.769989,59326700,39,NA
"253",2018-10-01,305.769989,316.839996,260,261.950012,261.950012,69274800,43,NA
"254",2018-10-08,264.519989,267.76001,247.770004,258.779999,258.779999,53717700,35,NA
"255",2018-10-15,259.059998,282.700012,253.5,260,260,39178600,34,NA
"256",2018-10-22,260.679993,339.899994,252.589996,330.899994,330.899994,92952600,40,NA
"257",2018-10-29,337.470001,349.200012,322.26001,346.410004,346.410004,47045100,32,NA
"258",2018-11-05,340.5,357.579987,330.140015,350.51001,350.51001,34157900,28,NA
"259",2018-11-12,348.369995,355.700012,330.339996,354.309998,354.309998,29262300,29,NA
"260",2018-11-19,356.339996,366.75,325.549988,325.829987,325.829987,26603000,28,NA
"261",2018-11-26,325,351.600006,325,350.480011,350.480011,27181700,28,NA
